name,tags
Counter-Strike: Global Offensive,"FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,eSports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable"
BeamNG.drive,"Simulation,Driving,Physics,Destruction,Realistic,Automobile Sim,Open World,Sandbox,Racing,Moddable,Singleplayer,Multiplayer,Early Access,First-Person,Third Person,Exploration,Funny,Action,Adventure,Flight"
Terraria,"Open World Survival Craft,Sandbox,Survival,2D,Multiplayer,Adventure,Pixel Graphics,Crafting,Building,Exploration,Co-op,Open World,Online Co-Op,Indie,Action,RPG,Singleplayer,Replay Value,Platformer,Atmospheric"
ASTRONEER,"Multiplayer,Open World,Open World Survival Craft,Space,Survival,Exploration,Base Building,Co-op,Sandbox,Adventure,Building,Crafting,Sci-fi,Automation,Singleplayer,Colorful,Third Person,Atmospheric,Simulation,Indie"
Tower of Fantasy,"MMORPG,RPG,Anime,Action,Action-Adventure,Open World,Action RPG,3D Platformer,Cinematic,Cartoony,Drama,Sci-fi,Post-apocalyptic,Futuristic,Cyberpunk,Free to Play,Massively Multiplayer,Character Customization,Story Rich,Bullet Time"
Hacknet,"Hacking,Simulation,Programming,Typing,Story Rich,Singleplayer,Choices Matter,Great Soundtrack,Crime,Atmospheric,Detective,Cyberpunk,2D,Logic,Education,Adventure,Difficult,Dystopian,Sci-fi,Indie"
Human: Fall Flat,"Co-op,Funny,Puzzle,Adventure,Physics,Sandbox,Action,Puzzle Platformer,Open World,Multiplayer,Local Co-Op,Indie,Comedy,Parkour,Local Multiplayer,Casual,Split Screen,3D Platformer,Singleplayer,Simulation"
Maneater,"Dark Humor,Nature,Open World,Underwater,Singleplayer,Exploration,Female Protagonist,Violent,Action RPG,Third Person,Narration,Gore,Action-Adventure,Action,RPG,Simulation,Villain Protagonist,Atmospheric,Adventure,Satire"
Car For Sale Simulator 2023,"Immersive Sim,Driving,Trading,FPS,Automobile Sim,Life Sim,Simulation,3D,First-Person,Open World,Conversation,Realistic,Family Friendly,Cinematic,America,Modern,Singleplayer,Inventory Management,Early Access,Indie"
NARAKA: BLADEPOINT,"Battle Royale,Multiplayer,Martial Arts,PvP,Female Protagonist,Action,Third Person,Survival,Character Customization,Hack and Slash,Massively Multiplayer,Fighting,Swordplay,Parkour,Adventure,Anime,Mature,Violent,Gore,Free to Play"
Phasmophobia,"Horror,Online Co-Op,Multiplayer,Psychological Horror,Co-op,VR,Supernatural,First-Person,Investigation,Dark,Demons,Mystery,Detective,Early Access,3D,Thriller,Indie,Action,Tactical,Lovecraftian"
Ready or Not,"Tactical,Realistic,FPS,Multiplayer,Shooter,Co-op,Singleplayer,First-Person,Action,Horror,Violent,Gun Customization,Combat,Crime,Modern,Gore,Atmospheric,America,Co-op Campaign,Early Access"
SnowRunner,"Simulation,Automobile Sim,Adventure,Exploration,Sandbox,Realistic,Driving,First-Person,Open World,Third Person,Immersive Sim,Multiplayer,Atmospheric,Racing,Snow,Nature,ATV,Physics,PvE,Team-Based"
Jagged Alliance 3,"Strategy,Tactical,RPG,Turn-Based Tactics,Turn-Based Strategy,Turn-Based Combat,Tactical RPG,Singleplayer,Strategy RPG,Co-op Campaign,Action,Loot,3D,Isometric,Classic"
Viewfinder,"Puzzle Platformer,First-Person,Puzzle,Singleplayer,Psychological,3D Platformer,Dark Humor,Surreal,Action-Adventure,Adventure,Physics,Atmospheric,Narration,Exploration,Colorful,Story Rich,Abstract,Platformer,Stylized,Retro"
Euro Truck Simulator 2,"Driving,Transportation,Simulation,Open World,Automobile Sim,Realistic,Moddable,Relaxing,Immersive Sim,Exploration,Economy,Management,Atmospheric,Multiplayer,Controller,Family Friendly,Third Person,Adventure,Casual,Indie"
BattleBit Remastered,"FPS,Shooter,Multiplayer,Destruction,Massively Multiplayer,Military,PvP,Action,War,First-Person,Tactical,Team-Based,Combat,Class-Based,Character Customization,Early Access,Gun Customization,3D,Voxel,Indie"
PUBG: BATTLEGROUNDS,"Survival,Shooter,Battle Royale,Multiplayer,FPS,PvP,Third-Person Shooter,Action,Online Co-Op,Tactical,Co-op,First-Person,Strategy,Early Access,Competitive,Third Person,Team-Based,Difficult,Simulation,Stealth"
Remnant II,"Action,Adventure,Souls-like,RPG,Dark,Action-Adventure,Shooter,Post-apocalyptic,Third-Person Shooter,Combat,Third Person,Atmospheric,Horror,Co-op,Controller,PvE,Multiplayer,Online Co-Op,Singleplayer,Gore"
,
7 Days to Die,"Survival,Zombies,Open World,Multiplayer,Open World Survival Craft,Voxel,Post-apocalyptic,Base Building,Online Co-Op,Exploration,Building,Sandbox,Simulation,FPS,Strategy,Character Customization,Tower Defense,Action,Procedural Generation,Early Access"
Warhammer: Vermintide 2,"Co-op,First-Person,Dark Fantasy,Games Workshop,Violent,Hack and Slash,Gore,Online Co-Op,Action,Action RPG,Fantasy,Multiplayer,PvE,Atmospheric,Roguelite,FPS,Singleplayer,Survival,Adventure,Indie"
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,"Anime,Fighting,Action,Ninja,Multiplayer,Adventure,Story Rich,Singleplayer,Local Multiplayer,Third Person,Great Soundtrack,Open World,Fantasy,Atmospheric,Co-op,Online Co-Op,Beat 'em up,Local Co-Op,Memes,Heist"
"Warhammer 40,000: Darktide","Warhammer 40K,Gore,Adventure,Online Co-Op,Multiplayer,PvE,FPS,Survival Horror,Shooter,Hack and Slash,Character Customization,First-Person,Co-op,Action,Violent,Atmospheric,Sci-fi,Dark Fantasy,Looter Shooter,Horror"
Cities: Skylines II,"Simulation,City Builder,Building,Singleplayer,Strategy,Multiplayer,Sandbox,Management,Economy,Realistic,Moddable,Atmospheric,Casual"
Techtonica,"Simulation,Automation,Strategy,Building,Base Building,City Builder,Resource Management,Sandbox,Crafting,Management,Exploration,Immersive Sim,First-Person,Colorful,Sci-fi,Co-op,Multiplayer,Online Co-Op,Singleplayer,Early Access"
,
STALCRAFT,"Free to Play,FPS,MMORPG,Action,Adventure,Shooter,Atmospheric,First-Person,Looter Shooter,Horror,RPG,PvP,Massively Multiplayer,Combat,Tactical,Story Rich,Team-Based,Multiplayer,Alternate History,PvE"
,
The Outlast Trials,"Early Access,Co-op,Survival Horror,Horror,Multiplayer,Psychological Horror,First-Person,PvE,Character Customization,Action-Adventure,Action,Stealth,Dark Humor,Survival,Alternate History,Realistic,Atmospheric,Dark,Science,Adventure"
Valheim,"Open World Survival Craft,Survival,Online Co-Op,Open World,Multiplayer,Building,Crafting,Exploration,Base Building,Co-op,Sandbox,Adventure,Mythology,RPG,Early Access,Action,PvE,Indie,Singleplayer,Third Person"
Only Up!,"3D Platformer,Parkour,Difficult,Casual,Bullet Time,Adventure,Open World,Third Person,Physics,Psychological Horror,Exploration,Platformer,Story Rich,Arcade,Replay Value,Atmospheric,Roguelike,Cinematic,Simulation,Surreal"
Garry's Mod,"Sandbox,Multiplayer,Funny,Moddable,Building,Mod,Comedy,Co-op,First-Person,Physics,Simulation,Online Co-Op,FPS,Singleplayer,Action,Animation & Modeling,Shooter,Indie,Massively Multiplayer,Adventure"
Vampyr,"Vampire,RPG,Choices Matter,Story Rich,Open World,Action,Singleplayer,Atmospheric,Third Person,Horror,Dark Fantasy,Violent,Dark,Gore,Adventure,Sexual Content,Great Soundtrack,Stealth,Souls-like,Nudity"
Contraband Police,"Open World,Action,First-Person,Multiple Endings,1980s,Realistic,Automobile Sim,Simulation,Singleplayer,Story Rich,FPS,Survival,Action-Adventure,Management,Immersive Sim,Detective,Physics,Destruction,Atmospheric,Indie"
ARK: Survival Evolved,"Open World Survival Craft,Survival,Multiplayer,Open World,Dinosaurs,Crafting,Building,Adventure,Base Building,Co-op,Action,First-Person,Sandbox,Massively Multiplayer,Singleplayer,Early Access,RPG,Dragons,Sci-fi,Indie"
,
Medieval Dynasty,"Survival,Building,Open World,Medieval,Singleplayer,RPG,City Builder,Crafting,Simulation,Colony Sim,Sandbox,Adventure,Resource Management,Realistic,Exploration,First-Person,Historical,Action,Co-op,Early Access"
Albion Online,"Free to Play,MMORPG,Open World,Massively Multiplayer,Sandbox,RPG,Crafting,Multiplayer,PvP,Survival,Loot,PvE,Economy,Medieval,Co-op,Fantasy,Strategy,Action,Singleplayer,Difficult"
Solasta: Crown of the Magister,"Co-op Campaign,Isometric,Multiplayer,RPG,Character Customization,Co-op,Choices Matter,Fantasy,Story Rich,CRPG,Class-Based,Singleplayer,Dungeons & Dragons,Stealth,PvE,Adventure,Party-Based RPG,Team-Based,Combat,Strategy RPG"
Divinity: Original Sin 2 - Definitive Edition,"Tactical RPG,RPG,Turn-Based Strategy,Story Rich,Exploration,Fantasy,CRPG,Party-Based RPG,Character Customization,Strategy RPG,PvP,Female Protagonist,Co-op Campaign,Local Co-Op,Isometric,Choices Matter,Romance,Strategy,Moddable,Funny"
EVE Online,"Space,Free to Play,RPG,Open World,Sci-fi,PvP,Sandbox,Massively Multiplayer,Strategy,Multiplayer,Economy,Action,Character Customization,Exploration,War,Spaceships,MMORPG,Politics,Lore-Rich,PvE"
Bus World,"Automobile Sim,Simulation,Indie,Racing,Adventure,Early Access,Driving,Atmospheric,Singleplayer,Realistic,Open World,Casual,Sports,Sandbox,Exploration,Moddable,Difficult,Audio Production,Education,Relaxing"
Stardew Valley,"Farming Sim,Life Sim,Pixel Graphics,Multiplayer,RPG,Relaxing,Agriculture,Simulation,Crafting,Sandbox,Indie,Building,Singleplayer,Casual,Open World,2D,Cute,Great Soundtrack,Dating Sim,Fishing"
Tiny Bunny,"Visual Novel,Horror,Atmospheric,Story Rich,Dark,Psychological Horror,Choices Matter,Singleplayer,2D,Gore,Adventure,Interactive Fiction,Point & Click,Violent,Mature,Anime,Cute,Great Soundtrack,Early Access,Indie"
City Car Driving,"Simulation,Driving,Automobile Sim,Survival Horror,Open World,Realistic,Multiplayer,Singleplayer,Racing,First-Person,VR,Moddable,Physics,Indie,Family Friendly,Psychological Horror,Education,Adventure,Casual,Horror"
Conqueror's Blade,"Medieval,Tactical,Strategy,Action,Free to Play,Multiplayer,Massively Multiplayer,War,Singleplayer,Grand Strategy,Strategy RPG,Online Co-Op,Swordplay,Character Customization,PvP,Wargame,RTS,Action RTS,Tactical RPG,Real Time Tactics"
Plague Inc: Evolved,"Strategy,Simulation,Outbreak Sim,Indie,Singleplayer,Multiplayer,Zombies,Casual,Tactical,Replay Value,Post-apocalyptic,Addictive,Realistic,2D,Difficult,Atmospheric,Co-op,Early Access,Sandbox,Survival"
Stellaris,"Space,Grand Strategy,Strategy,Sci-fi,4X,Exploration,Sandbox,Simulation,Multiplayer,Real-Time with Pause,Moddable,Singleplayer,Diplomacy,Management,Futuristic,Military,Replay Value,Atmospheric,Great Soundtrack,Procedural Generation"
Factorio,"Automation,Base Building,Resource Management,Sandbox,Crafting,Strategy,Multiplayer,Survival,Management,Open World,Building,Co-op,2D,Moddable,Singleplayer,Trains,Simulation,Pixel Graphics,City Builder,Indie"
Warface,"Free to Play,FPS,Realistic,Multiplayer,Shooter,Action,PvP,Co-op,Gun Customization,Character Customization,First-Person,Online Co-Op,Tactical,Strategy,Massively Multiplayer,Military,Team-Based,Adventure,Moddable,Class-Based"
Train Sim World® 3,"Simulation,Trains,Driving,Realistic,Singleplayer,Transportation,First-Person,Relaxing,Physics,Family Friendly,Immersive Sim,Atmospheric,Multiplayer,Automobile Sim,Open World,Story Rich,Mature,Adventure,Psychological Horror,Survival Horror"
A Plague Tale: Requiem,"Adventure,Action,Action-Adventure,Exploration,Interactive Fiction,Cinematic,3D,Third Person,Realistic,Atmospheric,Alternate History,Dark,Emotional,Female Protagonist,Drama,Medieval,Historical,Singleplayer,Mystery,Narration"
The Beast Inside,"Horror,Adventure,Action,Survival Horror,Multiplayer,First-Person,Singleplayer,Indie,Survival,Story Rich,Psychological Horror,Violent,Atmospheric,Gore,Walking Simulator,Exploration,Open World,Realistic,Great Soundtrack,Co-op"
Against the Storm,"Strategy,Simulation,Base Building,City Builder,Resource Management,Management,Building,Grand Strategy,RTS,Colony Sim,4X,Sandbox,Survival,Singleplayer,Open World,Replay Value,Economy,Historical,Early Access,Moddable"
Hades,"Action Roguelike,Hack and Slash,Roguelite,Indie,Action,Mythology,Roguelike,RPG,Great Soundtrack,Singleplayer,Story Rich,Dungeon Crawler,Replay Value,Isometric,Difficult,Action RPG,Hand-drawn,Atmospheric,Perma Death,LGBTQ+"
Don't Starve Together,"Survival,Open World Survival Craft,Multiplayer,Co-op,Open World,Adventure,Crafting,Online Co-Op,Sandbox,Difficult,Indie,2D,Atmospheric,Funny,Survival Horror,Strategy,Horror,Singleplayer,Action,Roguelike"
Satisfactory,"Base Building,Automation,Open World,Multiplayer,Crafting,Co-op,Resource Management,Building,Sandbox,Exploration,Adventure,Early Access,Open World Survival Craft,Simulation,Survival,Strategy,First-Person,Sci-fi,Singleplayer,Indie"
Pummel Party,"Multiplayer,Funny,Online Co-Op,4 Player Local,Board Game,Party Game,Casual,Local Multiplayer,Co-op,Minigames,Party,Local Co-Op,Action,Indie,Comedy,Tabletop,Controller,Gore,Colorful,Singleplayer"
Cuphead,"Difficult,Cartoon,Co-op,Platformer,Great Soundtrack,Local Co-Op,2D,Hand-drawn,Multiplayer,Indie,Retro,Cartoony,Bullet Hell,Action,Shoot 'Em Up,Singleplayer,Side Scroller,Colorful,Funny,Atmospheric"
,
Partisans 1941,"Strategy,Real Time Tactics,World War II,Stealth,Tactical,Singleplayer,Isometric,Indie,War,Historical,Tactical RPG,Assassin,Strategy RPG,Atmospheric,Difficult,Character Customization,Action,3D,Third Person,Combat"
Wolcen: Lords of Mayhem,"Hack and Slash,Action RPG,Isometric,Multiplayer,RPG,Action,Loot,Adventure,Indie,Co-op,Character Customization,Dark Fantasy,Dungeon Crawler,Singleplayer,Controller,Fantasy,Top-Down,Medieval,Online Co-Op,Difficult"
Age of Wonders 4,"Strategy,4X,Fantasy,Tactical RPG,Atmospheric,Colorful,Magic,Diplomacy,Character Customization,PvP,War,Grand Strategy,Hex Grid,Moddable,RPG,PvE,Exploration,Top-Down,Lore-Rich,Immersive Sim"
My Friendly Neighborhood,"Survival Horror,Horror,Puzzle,Action-Adventure,Shooter,FPS,Open World,Survival,Story Rich,Multiple Endings,First-Person,Choices Matter,Atmospheric,Action,Adventure,Exploration,Resource Management,Realistic,Lore-Rich,3D"
Super Bunny Man,"Multiplayer,Funny,Physics,Co-op,Comedy,Puzzle Platformer,Casual,Online Co-Op,Party,Colorful,Local Co-Op,Action,Puzzle,Cartoon,Local Multiplayer,Adventure,Memes,Singleplayer,4 Player Local,Sandbox"
Path of Exile,"Free to Play,Action RPG,Hack and Slash,RPG,Multiplayer,Loot,Dungeon Crawler,Massively Multiplayer,Character Customization,Inventory Management,MMORPG,Action,Fantasy,Isometric,Adventure,Singleplayer,Online Co-Op,PvP,Co-op,Horror"
